lap,pos_z,pos_x,pos_y,lapTimeMs,brake,lapInvalidated,gear,accg_z,gas,speedKmh,accg_y,accg_x,trackPosition
2,-493.0922546386719,-290.5936279296875,-8.051910400390625,49530,0.0,0,5,0.17604437470436096,1.0,136.53807067871094,0.04910433664917946,0.9622652530670166,0.6817041635513306
2,-489.7370910644531,-292.47161865234375,-7.53754997253418,49632,0.0,0,5,0.15071791410446167,1.0,137.251953125,0.45339784026145935,0.3599224090576172,0.6828728318214417
2,-486.24810791015625,-294.3724670410156,-6.974492073059082,49737,0.0,0,5,0.1673952341079712,1.0,137.89012145996094,0.41742590069770813,0.11289892345666885,0.6840811967849731
2,-482.83990478515625,-296.2142028808594,-6.403483867645264,49839,0.0,0,5,0.09666983038187027,1.0,138.48318481445312,-0.12883031368255615,-0.06092403829097748,0.6852606534957886
2,-479.41943359375,-298.0669250488281,-5.819134712219238,49941,0.0,0,5,0.1480969935655594,1.0,139.11886596679688,0.3259529173374176,0.08342606574296951,0.6864422559738159
2,-475.9837646484375,-299.9131774902344,-5.195864200592041,50043,0.0,0,5,0.19226643443107605,1.0,139.65440368652344,0.5033338069915771,0.3196123540401459,0.687629222869873
2,-472.5242614746094,-301.7337951660156,-4.539577007293701,50145,0.0,0,5,0.08904571831226349,1.0,140.12303161621094,0.18333250284194946,0.4490758180618286,0.6888201236724854
2,-468.9305725097656,-303.5727233886719,-3.855689525604248,50250,0.0,0,5,0.19397059082984924,1.0,140.6074981689453,-0.017919618636369705,0.40773236751556396,0.6900509595870972
2,-465.40740966796875,-305.3257751464844,-3.1836931705474854,50352,0.0,0,5,0.08429509401321411,1.0,141.10267639160156,0.3707520365715027,0.5022726058959961,0.6912492513656616
2,-461.8572082519531,-307.04058837890625,-2.482240676879883,50454,0.0,0,5,0.14409767091274261,1.0,141.55697631835938,0.16160964965820312,0.5863403081893921,0.6924530267715454
2,-458.1719055175781,-308.75982666015625,-1.736672282218933,50559,0.0,0,5,0.12486442923545837,1.0,141.9132537841797,-0.02721434459090233,0.3891461193561554,0.6936951279640198
2,-454.45562744140625,-310.4310607910156,-0.9669632315635681,50664,0.0,0,5,0.11885901540517807,1.0,142.3330535888672,0.6288717985153198,0.5595957636833191,0.6949400901794434
2,-450.81689453125,-311.9983825683594,-0.1874982863664627,50766,0.0,0,5,0.05336622893810272,1.0,142.66766357421875,0.043263137340545654,0.6221094131469727,0.6961556673049927
2,-447.14599609375,-313.5036926269531,0.606889009475708,50868,0.0,0,5,0.05572536587715149,1.0,142.9515380859375,0.12053492665290833,0.82614666223526,0.6973695755004883
2,-443.4402770996094,-314.936767578125,1.4144002199172974,50970,0.0,0,5,0.06421473622322083,1.0,143.2244415283203,0.3117411434650421,0.8779684901237488,0.69858717918396
2,-439.70050048828125,-316.2861328125,2.237154722213745,51072,0.12227176129817963,0,5,-0.06054288148880005,1.0,143.30593872070312,-0.05968426167964935,0.8355022072792053,0.6998057961463928
2,-435.93975830078125,-317.5411376953125,3.0582871437072754,51174,0.23490040004253387,0,5,-0.31340277194976807,1.0,142.45687866210938,-0.1668488085269928,0.8486047983169556,0.7010226845741272
2,-432.1723937988281,-318.69024658203125,3.8632547855377197,51276,0.21149519085884094,0,5,-0.26859891414642334,1.0,141.3805389404297,0.4193817377090454,1.3462945222854614,0.7022325396537781
2,-428.4019775390625,-319.6938171386719,4.68939733505249,51378,0.1930307149887085,0,5,-0.2782231867313385,1.0,140.3030548095703,0.07565819472074509,1.0667654275894165,0.70343017578125
2,-424.5156555175781,-320.59356689453125,5.537581443786621,51483,0.17186841368675232,0,5,-0.2517632246017456,1.0,139.43719482421875,-0.011723685078322887,1.070823311805725,0.7046620845794678
2,-420.73406982421875,-321.35174560546875,6.34349250793457,51585,0.15530486404895782,0,5,-0.10014022886753082,1.0,138.78709411621094,0.04228029027581215,1.0912657976150513,0.7058498859405518
2,-416.8354797363281,-322.0176696777344,7.16089391708374,51690,0.13975001871585846,0,5,-0.12602201104164124,1.0,138.2034454345703,0.24561770260334015,1.0649487972259521,0.7070767283439636
2,-413.0465087890625,-322.5577697753906,7.952939987182617,51792,0.13377243280410767,0,5,-0.05055738985538483,1.0,137.73178100585938,-0.28196313977241516,0.9906324148178101,0.7082668542861938
2,-409.2538146972656,-323.00360107421875,8.726139068603516,51894,0.11950783431529999,0,5,-0.13668537139892578,1.0,137.32447814941406,0.19355149567127228,1.0988848209381104,0.7094535827636719
2,-405.4603271484375,-323.33770751953125,9.490523338317871,51996,0.10878574103116989,0,5,-0.06470385193824768,1.0,136.96983337402344,-0.011612127535045147,1.2541946172714233,0.7106397151947021
2,-401.6666259765625,-323.55926513671875,10.232735633850098,52098,0.11140289157629013,0,5,-0.006875529885292053,1.0,136.43035888671875,-0.2998393177986145,1.0675644874572754,0.711820125579834
2,-397.8736267089844,-323.6806945800781,10.932975769042969,52200,0.11678069829940796,0,5,-0.16420456767082214,1.0,135.95384216308594,-0.5219559669494629,1.0911240577697754,0.7129954099655151
2,-394.0845642089844,-323.6954345703125,11.589046478271484,52302,0.11678069829940796,0,5,-0.10622599720954895,1.0,135.55831909179688,-0.14454525709152222,1.3522452116012573,0.7141615748405457
2,-390.3069763183594,-323.57733154296875,12.216763496398926,52404,0.12510831654071808,0,5,-0.15874478220939636,1.0,134.89443969726562,-0.2855947017669678,1.1301233768463135,0.7153234481811523
2,-386.4366149902344,-323.3419189453125,12.81667423248291,52509,0.15530486404895782,0,5,-0.18154920637607574,1.0,134.17811584472656,-0.7556389570236206,0.6740025281906128,0.716506838798523
2,-382.6871337890625,-323.0378723144531,13.329193115234375,52611,0.19663572311401367,0,5,-0.08635210990905762,1.0,133.88787841796875,-0.33132684230804443,1.0979154109954834,0.7176511883735657
2,-378.847900390625,-322.61126708984375,13.808804512023926,52716,0.22301867604255676,0,5,-0.18984374403953552,1.0,133.11666870117188,-0.2086937427520752,1.3296170234680176,0.7188245058059692
2,-375.1552734375,-322.077392578125,14.232505798339844,52818,0.23490040004253387,0,5,-0.07385484874248505,1.0,132.14659118652344,-0.40869882702827454,1.0261512994766235,0.7199540734291077
2,-371.49798583984375,-321.43377685546875,14.607329368591309,52920,0.22301867604255676,0,5,-0.20436999201774597,1.0,131.29307556152344,-0.09267354011535645,1.4383870363235474,0.7210753560066223
2,-367.88751220703125,-320.6585998535156,14.948653221130371,53022,0.21913787722587585,0,5,-0.2684113383293152,0.9960999488830566,130.50071716308594,-0.15463928878307343,1.2843561172485352,0.7221892476081848
