time_ms,car_id,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z,gear,engine_rpm,normalized_spline_pos
25471,7,-486.4337158203125,-2.1213436126708984,1049.308349609375,13.003767967224121,-0.2965177595615387,-38.29536056518555,4,7879,0.30884140729904175
25569,7,-484.8116455078125,-2.1564271450042725,1044.836669921875,14.673949241638184,-0.3155275583267212,-38.117584228515625,4,7983,0.3100008964538574
25671,7,-483.6219787597656,-2.181518316268921,1041.86865234375,15.804631233215332,-0.31095090508461,-37.958900451660156,4,8033,0.3107779622077942
25771,7,-481.66510009765625,-2.2131664752960205,1037.4466552734375,17.58639144897461,-0.2337552160024643,-37.634765625,4,8070,0.31195342540740967
25904,7,-479.5082092285156,-2.2424492835998535,1033.064697265625,19.25202178955078,-0.25662732124328613,-37.27631759643555,4,8167,0.31314802169799805
26017,7,-477.9608459472656,-2.2617595195770264,1030.1673583984375,20.374807357788086,-0.2409924566745758,-37.0039176940918,4,8209,0.3139488399028778
26112,7,-474.6083068847656,-2.300067901611328,1024.443359375,22.536922454833984,-0.26534420251846313,-36.40011978149414,4,8298,0.3155726492404938
26208,7,-472.8090515136719,-2.3229660987854004,1021.6180419921875,23.555809020996094,-0.32294991612434387,-36.060157775878906,4,8386,0.3163939416408539
26328,7,-469.96221923828125,-2.3651187419891357,1017.4271850585938,25.008272171020508,-0.44602954387664795,-35.59977340698242,4,8473,0.31763848662376404
26419,7,-466.95208740234375,-2.4254980087280273,1013.2904052734375,26.455095291137695,-0.5148715376853943,-35.098079681396484,4,8475,0.3188958168029785
26520,7,-464.8487243652344,-2.463486909866333,1010.5685424804688,27.437347412109375,-0.45054328441619873,-34.71001052856445,4,8511,0.31974902749061584
26613,7,-461.5571594238281,-2.5097014904022217,1006.5391235351562,28.77289581298828,-0.33526989817619324,-34.19882583618164,4,8582,0.321036159992218
26721,7,-459.2802734375,-2.5332624912261963,1003.88330078125,29.566734313964844,-0.2757214903831482,-33.91548538208008,4,8637,0.32190561294555664
26845,7,-456.9435119628906,-2.552994728088379,1001.2490234375,30.3231143951416,-0.2302999347448349,-33.64328384399414,4,8690,0.3227825164794922
26952,7,-452.1078186035156,-2.5933268070220947,996.0584106445312,31.6116886138916,-0.32989203929901123,-32.887298583984375,5,7384,0.3245479166507721
27061,7,-449.6087951660156,-2.6203453540802,993.5071411132812,32.441490173339844,-0.3377375900745392,-32.49616622924805,5,7262,0.3254355192184448
27167,7,-444.4124450683594,-2.6634557247161865,988.5223999023438,34.10136032104492,-0.2916419804096222,-31.458255767822266,5,7361,0.3272262215614319
27261,7,-441.7215576171875,-2.688469409942627,986.0877685546875,34.870391845703125,-0.330883264541626,-30.979127883911133,5,7392,0.3281283676624298
27363,7,-437.5709533691406,-2.722675085067749,982.5100708007812,36.041324615478516,-0.24761264026165009,-30.198850631713867,5,7430,0.3294844925403595
27463,7,-433.2874450683594,-2.7476162910461426,979.0235595703125,37.131874084472656,-0.2173963338136673,-29.443984985351562,5,7491,0.33084991574287415
27576,7,-430.36279296875,-2.765843152999878,976.7485961914062,37.850589752197266,-0.22689488530158997,-28.896005630493164,5,7540,0.3317655622959137
27677,7,-425.86444091796875,-2.78559947013855,973.4257202148438,39.00801467895508,-0.08902862668037415,-27.90526580810547,5,7608,0.333146870136261
27784,7,-421.2314758300781,-2.7843098640441895,970.2208862304688,40.098392486572266,0.03336383029818535,-26.974355697631836,5,7645,0.3345377445220947
27887,7,-418.08087158203125,-2.7863028049468994,968.1334228515625,40.65678405761719,-0.07692696899175644,-26.58233642578125,5,7694,0.33547037839889526
27987,7,-413.2761535644531,-2.7894628047943115,965.0521240234375,41.42142868041992,0.09377126395702362,-26.14864730834961,5,7699,0.3368805944919586
28103,7,-408.3958740234375,-2.7748851776123047,962.0023803710938,41.96501541137695,0.0809706524014473,-26.01688575744629,5,7801,0.3383024334907532
28203,7,-405.10809326171875,-2.770280122756958,959.9755249023438,42.332122802734375,0.0801917016506195,-25.939380645751953,5,7820,0.33925625681877136
28309,7,-400.1166687011719,-2.735077381134033,956.9588012695312,42.973670959472656,0.5004060864448547,-25.639427185058594,5,7861,0.34069669246673584
28405,7,-395.0594177246094,-2.679720163345337,953.9647827148438,43.448970794677734,0.38193830847740173,-25.57671546936035,5,7968,0.34214717149734497
28507,7,-391.6574401855469,-2.651728391647339,951.9700317382812,43.76567840576172,0.36792322993278503,-25.569120407104492,5,7977,0.3431195318698883
28612,7,-388.23162841796875,-2.621352195739746,949.9752807617188,44.05998611450195,0.3994395434856415,-25.575172424316406,5,8027,0.3440990149974823
