time_ms,car_id,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z,gear,engine_rpm,normalized_spline_pos
43741,16,-241.69973754882812,-15.580942153930664,-539.0137329101562,-35.80897521972656,1.7022327184677124,15.546189308166504,4,5638,0.6609576344490051
43842,16,-245.19223022460938,-15.332365036010742,-537.358154296875,-34.79166793823242,3.1026113033294678,17.747102737426758,4,5626,0.662129819393158
43943,16,-248.59161376953125,-15.003071784973145,-535.5106201171875,-33.91801452636719,3.4563708305358887,19.506359100341797,4,5751,0.6633047461509705
44045,16,-251.89137268066406,-14.637255668640137,-533.480712890625,-32.759857177734375,3.9100568294525146,21.378633499145508,4,5875,0.6644824147224426
44145,16,-256.1484680175781,-14.143924713134766,-530.5579223632812,-31.755207061767578,3.543222188949585,22.8812313079834,4,5729,0.6660582423210144
44246,16,-259.22283935546875,-13.768649101257324,-528.2037353515625,-30.295671463012695,4.189062595367432,24.66996192932129,4,5702,0.6672484278678894
44347,16,-262.14422607421875,-13.317091941833496,-525.6729736328125,-28.87948989868164,4.763920307159424,26.26593589782715,4,5830,0.6684351563453674
44449,16,-264.96875,-12.857809066772461,-523.0333862304688,-28.28843116760254,4.391176223754883,26.980270385742188,4,5726,0.6696156859397888
44549,16,-267.7408142089844,-12.43651294708252,-520.31640625,-27.66098403930664,4.252198696136475,27.94129753112793,4,5675,0.67079758644104
44651,16,-270.4348449707031,-12.004895210266113,-517.4948120117188,-26.752521514892578,4.497106075286865,29.052827835083008,4,5657,0.6719909310340881
44751,16,-273.0322265625,-11.549044609069824,-514.5640258789062,-25.809228897094727,4.6209306716918945,30.019256591796875,4,5960,0.6731934547424316
44852,16,-275.5605163574219,-11.112025260925293,-511.5583190917969,-25.18807601928711,4.3376569747924805,30.829545974731445,4,5689,0.6743978261947632
44954,16,-277.96728515625,-10.635274887084961,-508.43804931640625,-23.544437408447266,5.267868518829346,32.10438537597656,4,5789,0.6756090521812439
45054,16,-280.2584228515625,-10.121119499206543,-505.2188720703125,-22.87844467163086,4.998264789581299,32.858909606933594,4,5882,0.6768158674240112
45155,16,-282.4901428222656,-9.63685131072998,-501.9263916015625,-22.129905700683594,4.92696475982666,33.68160629272461,4,5781,0.6780446767807007
45256,16,-284.6335754394531,-9.132387161254883,-498.5498962402344,-21.275760650634766,5.223933696746826,34.4625129699707,4,5787,0.6792750358581543
45357,16,-286.72296142578125,-8.618573188781738,-495.1126708984375,-21.02142333984375,5.177755832672119,34.92558288574219,4,5796,0.6805152297019958
45458,16,-288.80413818359375,-8.094468116760254,-491.6422119140625,-21.04593849182129,5.445348262786865,35.1579704284668,4,5843,0.6817640066146851
45560,16,-290.8898620605469,-7.5405659675598145,-488.1501770019531,-21.05166244506836,5.767773628234863,35.395790100097656,4,5853,0.6830148696899414
45660,16,-292.9691467285156,-6.946342468261719,-484.6335754394531,-20.97584342956543,6.18037223815918,35.63429260253906,4,5916,0.6842760443687439
45761,16,-295.0497741699219,-6.329942226409912,-481.0953063964844,-21.07014274597168,6.265105724334717,35.8293342590332,4,5948,0.6855313777923584
45862,16,-297.83355712890625,-5.47542142868042,-476.3482360839844,-21.051586151123047,6.797301769256592,36.086769104003906,4,5975,0.6872056126594543
45964,16,-299.9096984863281,-4.778142929077148,-472.7630310058594,-20.886266708374023,7.218442440032959,36.33351516723633,4,6028,0.6884707808494568
46065,16,-301.96923828125,-4.058781623840332,-469.15069580078125,-20.719192504882812,7.245115280151367,36.6473388671875,4,6068,0.6897345781326294
46166,16,-304.00653076171875,-3.337580919265747,-465.50360107421875,-20.41512107849121,7.3877716064453125,37.01944351196289,4,6052,0.6910088658332825
46267,16,-306.0067138671875,-2.5861263275146484,-461.8205871582031,-20.000898361206055,7.74921178817749,37.381996154785156,4,6070,0.6922876834869385
46367,16,-307.95623779296875,-1.804381012916565,-458.0980224609375,-19.376815795898438,8.022126197814941,37.81304931640625,4,6151,0.6935715675354004
46469,16,-309.8350524902344,-0.9985945224761963,-454.3275451660156,-18.54330062866211,8.310954093933105,38.338314056396484,4,6138,0.6948609948158264
46570,16,-311.6251525878906,-0.1591690629720688,-450.5065612792969,-17.650585174560547,8.571499824523926,38.84211349487305,4,6174,0.6961551904678345
