lapTimeMs,pos_z,pos_y,pos_x,accg_z,lap,accg_x,accg_y,lapInvalidated,trackPosition,speedKmh,gas,gear,brake
7314,364.0685729980469,7.42808723449707,549.061279296875,-1.1852164268493652,3,-1.0516033172607422,0.43942689895629883,0,0.2323407232761383,122.735107421875,0.0,5,0.0
7416,367.4284973144531,7.497050762176514,548.4816284179688,-1.1687259674072266,3,-0.17355623841285706,-0.9079498052597046,0,0.23424763977527618,118.42341613769531,0.0,5,0.0
7533,371.1383972167969,7.51165246963501,547.8084106445312,-1.1287331581115723,3,-0.2067899852991104,0.5574505925178528,0,0.2363625317811966,113.86717224121094,0.0,5,0.0
7647,374.46063232421875,7.566784858703613,546.9634399414062,-1.0667812824249268,3,-0.41549554467201233,0.4171934723854065,0,0.238327756524086,103.98847961425781,0.0,5,0.0
7749,377.065185546875,7.620086193084717,545.8734741210938,-0.9425699710845947,3,0.23177111148834229,-0.05273202061653137,0,0.2399383932352066,97.12035369873047,0.0,5,0.0
7866,379.8518981933594,7.639917373657227,544.5401611328125,-0.5865950584411621,3,-0.08685383200645447,-0.6313987970352173,0,0.2417144477367401,93.38643646240234,0.0,5,0.0
7983,382.5386047363281,7.614499092102051,543.2547607421875,-0.8483998775482178,3,0.31550365686416626,0.5514920353889465,0,0.2434125691652298,90.0319595336914,0.0,5,0.0
8097,385.0655517578125,7.63319206237793,542.0630493164062,-0.8040236234664917,3,-0.16295629739761353,-0.3605080544948578,0,0.2450144737958908,86.71888732910156,0.0,5,0.0
8199,387.2439270019531,7.624831199645996,541.0245361328125,-0.7912592887878418,3,-0.02900603413581848,0.010889410972595215,0,0.24637830257415771,83.8478775024414,0.0,5,0.0
8313,389.5908203125,7.620494842529297,539.904296875,-0.7435204386711121,3,-0.0071794986724853516,0.248006671667099,0,0.2478540539741516,80.68601989746094,0.0,5,0.0
8415,391.6169738769531,7.6375956535339355,538.9371337890625,-0.6826637387275696,3,-0.06065817177295685,-0.1957697570323944,0,0.24911567568778992,78.05513000488281,0.0,5,0.0
8532,393.85833740234375,7.630234718322754,537.8619384765625,-0.7290273904800415,3,0.010753363370895386,-0.24442985653877258,0,0.2505582273006439,75.15110778808594,0.0,5,0.0
8634,395.74237060546875,7.603416442871094,536.9578857421875,-0.6968234777450562,3,0.029003947973251343,0.28030097484588623,0,0.25167787075042725,72.59748840332031,0.0,5,0.0
8751,397.82550048828125,7.606112003326416,535.9590454101562,-0.6381465196609497,3,-0.012601003050804138,0.312515527009964,0,0.2530148923397064,69.83351135253906,0.0,5,0.0
8868,399.8288269042969,7.645033359527588,534.9938354492188,-0.6291850805282593,3,-0.0632450133562088,-0.14667770266532898,0,0.2542458176612854,67.24710083007812,0.0,5,0.0
8982,401.70703125,7.669576168060303,534.081787109375,-0.6101107001304626,3,-0.05642463266849518,-0.24971619248390198,0,0.25541165471076965,64.81983184814453,0.0,5,0.0
9084,403.3274841308594,7.670511722564697,533.2916870117188,-0.5956779718399048,3,0.051504895091056824,0.06717166304588318,0,0.25642573833465576,62.63336944580078,0.0,5,0.0
9201,405.1205139160156,7.681026458740234,532.4214477539062,-0.5674428939819336,3,0.04033695161342621,0.20324937999248505,0,0.25754407048225403,60.22953414916992,0.0,5,0.0
9318,406.8470764160156,7.716616153717041,531.586669921875,-0.5231291651725769,3,-0.011805310845375061,0.08711111545562744,0,0.25863388180732727,58.00169372558594,0.0,5,0.0
9435,408.5099182128906,7.756585121154785,530.7822265625,-0.5096602439880371,3,-0.012946799397468567,-0.24639317393302917,0,0.25968194007873535,55.87323760986328,0.0,5,0.0
9549,409.97906494140625,7.781567096710205,529.9512329101562,-0.4736469089984894,3,-0.36969903111457825,-0.6769233345985413,0,0.260638564825058,51.622676849365234,0.0,5,0.0
9654,411.2171936035156,7.75411319732666,529.1431884765625,-0.5186483263969421,3,-0.3001643121242523,0.11703415215015411,0,0.2614566385746002,49.90867614746094,0.0,5,0.0
9771,412.4986267089844,7.730024337768555,528.2202758789062,-0.4921691417694092,3,-0.8894882798194885,0.2223098874092102,0,0.26233676075935364,47.36677169799805,0.0,5,0.0
9885,413.61004638671875,7.73718786239624,527.2626953125,-0.4346853494644165,3,-0.40041524171829224,0.04112618789076805,0,0.2631412148475647,45.506629943847656,0.0,5,0.0
9987,414.5433654785156,7.747356414794922,526.4066772460938,-0.38839465379714966,3,0.07817843556404114,-0.009990476071834564,0,0.2638290226459503,44.03017044067383,0.0,5,0.0
10104,415.5798034667969,7.755765914916992,525.4622192382812,-0.39597126841545105,3,-0.017305001616477966,-0.10467226058244705,0,0.2645898163318634,42.39701843261719,0.0,5,0.0
10218,416.55303955078125,7.751389026641846,524.5765991210938,-0.38750165700912476,3,-0.0037617534399032593,-0.10130324959754944,0,0.2653171420097351,40.83747863769531,0.0,5,0.0
10320,417.39263916015625,7.737471580505371,523.8115844726562,-0.37869691848754883,3,0.01670604944229126,-0.0274583101272583,0,0.2659323811531067,39.47164535522461,0.0,5,0.0
10437,418.32220458984375,7.720133304595947,522.9669799804688,-0.3788757622241974,3,0.021840155124664307,0.058956339955329895,0,0.2666129171848297,37.957271575927734,0.0,5,0.0
10554,419.216552734375,7.7122344970703125,522.1550903320312,-0.3288058042526245,3,-0.000288546085357666,0.10896948724985123,0,0.2672734260559082,36.50978088378906,0.0,5,0.0
10668,420.05523681640625,7.7174882888793945,521.3930053710938,-0.32279172539711,3,-0.01656322181224823,0.05469672009348869,0,0.2678913474082947,35.17436218261719,0.0,5,0.0
10770,420.7797546386719,7.727712631225586,520.7349853515625,-0.3220602869987488,3,-0.011156931519508362,-0.021204303950071335,0,0.26841622591018677,34.02452850341797,0.0,5,0.0
10887,421.58154296875,7.736275672912598,520.0064697265625,-0.29366156458854675,3,-0.010998740792274475,-0.0663028359413147,0,0.26901882886886597,32.75105667114258,0.0,5,0.0
11004,422.3527526855469,7.736846923828125,519.304931640625,-0.2919718027114868,3,-0.021690428256988525,-0.05082148313522339,0,0.26958218216896057,31.508996963500977,0.0,5,0.0
11121,423.0945129394531,7.730274200439453,518.630126953125,-0.29596608877182007,3,-0.0057782381772994995,-0.04386761412024498,0,0.27015334367752075,30.2989501953125,0.0,5,0.0
11238,423.8075256347656,7.71883487701416,517.9812622070312,-0.2691532373428345,3,-0.02894481271505356,-0.0019262183923274279,0,0.2706714868545532,29.131155014038086,0.0,5,0.0
11343,424.4228515625,7.7093963623046875,517.4195556640625,-0.2760014235973358,3,0.019119128584861755,0.028788354247808456,0,0.2711377441883087,28.105209350585938,0.0,5,0.0
11460,425.08306884765625,7.704237937927246,516.8168334960938,-0.23380737006664276,3,0.003251582384109497,0.049191657453775406,0,0.27162468433380127,27.005659103393555,0.0,5,0.0
11574,425.7015075683594,7.705667972564697,516.2521362304688,-0.21845592558383942,3,-0.022850923240184784,0.04126279056072235,0,0.2720818519592285,25.977054595947266,0.0,5,0.0
11676,426.23504638671875,7.711190700531006,515.7653198242188,-0.2326848804950714,3,8.615106344223022e-05,0.030832314863801003,0,0.2724853456020355,25.09103012084961,0.0,5,0.0
11793,426.8245849609375,7.720729827880859,515.227294921875,-0.21778281033039093,3,-0.0011758208274841309,0.014911812730133533,0,0.2729240357875824,24.116436004638672,0.0,5,0.0
11910,427.3912048339844,7.731535911560059,514.7101440429688,-0.2404574751853943,3,0.01018475741147995,-0.007596863433718681,0,0.2733319401741028,23.173646926879883,0.0,5,0.0
12024,427.92193603515625,7.740729331970215,514.2257080078125,-0.20058086514472961,3,-0.005453608930110931,-0.022764677181839943,0,0.2737357020378113,22.293954849243164,0.0,5,0.0
